"contrast_description","tf_mse","thresh_mse","mse_value","thresh_vertical","vertical_window_len","delta"
"CD4T:Control-DKD",0.05,33.5273438648192,1.46321431774014e-05,28.4199669165524,3.419465040011e-05,5.1073769482668
"CD4T:Control-HKD",0.025,126.341149848886,8.28810027341134e-06,21.0778973217118,2.12752057002774e-05,105.263252527174
"CD4T:DKD-HKD",0.025,74.6940104908941,2.58684408619216e-05,13.8429439667532,6.12458532991411e-05,60.8510665241408
"CNT:Control-DKD",0.5,11.9410904487808,1.45576981411342e-05,11.8911028453612,9.69985597016887e-05,0.04998760341965
"CNT:Control-HKD",0.1,29.922130564257,4.61788310259254e-05,14.613590333088,6.14963411003089e-05,15.308540231169
"CNT:DKD-HKD",0.575,5.00132262688383,2.85025382173063e-05,17.545562638503,1.75405997993039e-05,12.5442400116192
"C_TAL:Control-DKD",0.1,132.302264895771,4.42499406943419e-05,132.016042636339,3.58398609989763e-05,0.286222259432492
"C_TAL:Control-HKD",0.175,83.7696011795439,1.7258124393005e-05,83.7696542682611,0.000106177434403776,5.30887171947825e-05
"C_TAL:DKD-HKD",0.65,6.62437141492659,3.18050032073012e-05,28.5093856422876,4.55772701002388e-05,21.885014227361
"DCT:Control-DKD",0.2,38.6639654333408,1.58390720328329e-05,20.5154405282054,3.14193342987323e-05,18.1485249051353
"DCT:Control-HKD",0.425,11.6010421798985,3.78470029500476e-05,40.8656806452983,0.000906188358797522,29.2646384653998
"DCT:DKD-HKD",0.225,32.2122198819218,1.36683779708794e-05,23.20909882954,3.11277918001451e-05,9.0031210523818
"Dedifferentiated_Tubule:Control-DKD",0.225,32.3529177214443,8.61479426052982e-06,25.3347825065621,5.32763205001174e-05,7.01813521488215
"Dedifferentiated_Tubule:Control-HKD",0.025,52.2437348447656,1.92839159267216e-05,10.8567684930471,0,41.3869663517185
"Dedifferentiated_Tubule:DKD-HKD",0.175,23.914606591629,1.21408225584906e-05,23.914667914159,0.0001226450601024,6.13225300511999e-05
"Endo_G:Control-DKD",0.175,35.6348119030467,1.12958762922551e-05,30.1849166199542,4.58970071015585e-05,5.44989528309255
"Endo_G:Control-HKD",0.175,15.0821777938253,1.69321386205352e-05,15.0821468539451,6.18797604001742e-05,3.09398801991989e-05
"Endo_G:DKD-HKD",0.25,11.3799363154579,1.1110480478039e-05,48.9812418748624,3.00875506979992e-05,37.6013055594046
"Endo_Lym:Control-DKD",0.225,7.60130528689965,1.93687403883505e-05,19.9531182357692,0,12.3518129488696
"Endo_Peritubular:Control-DKD",0.375,17.1607387273918,1.29978486778987e-05,17.1208083115002,3.06502526008501e-05,0.0399304158916003
"Endo_Peritubular:Control-HKD",0.2,5.37483333736676,1.18632945381762e-05,25.7359019910792,1.93731569986255e-05,20.3610686537124
